"Id","VeryActiveMinutes","ModeratelyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","TotalActiveMinutes"
1503960366,25,13,328,728,1094
1503960366,21,19,217,776,1033
1503960366,30,11,181,1218,1440
1503960366,29,34,209,726,998
1503960366,36,10,221,773,1040
1503960366,38,20,164,539,761
1503960366,42,16,233,1149,1440
1503960366,50,31,264,775,1120
1503960366,28,12,205,818,1063
1503960366,19,8,211,838,1076
1503960366,66,27,130,1217,1440
1503960366,41,21,262,732,1056
1503960366,39,5,238,709,991
1503960366,73,14,216,814,1117
1503960366,31,23,279,833,1166
1503960366,78,11,243,1108,1440
1503960366,48,28,189,782,1047
1503960366,16,12,243,815,1086
1503960366,52,34,217,712,1015
1503960366,33,35,246,730,1044
1503960366,41,15,277,798,1131
1503960366,50,24,254,816,1144
1503960366,36,22,203,1179,1440
1503960366,45,24,250,857,1176
1503960366,24,6,289,754,1073
1503960366,37,46,175,833,1091
1503960366,44,8,203,574,829
1503960366,46,11,206,835,1098
1503960366,46,31,214,746,1037
1503960366,36,23,251,669,979
1503960366,0,0,0,1440,1440
1624580081,0,0,146,1294,1440
1624580081,0,0,148,1292,1440
1624580081,0,0,236,1204,1440
1624580081,0,0,96,1344,1440
1624580081,0,0,176,1264,1440
1624580081,15,22,127,1276,1440
1624580081,17,7,202,1214,1440
1624580081,0,0,141,1299,1440
1624580081,0,0,151,1289,1440
1624580081,0,0,186,1254,1440
1624580081,0,0,199,1241,1440
1624580081,0,0,227,1213,1440
1624580081,16,18,185,1221,1440
1624580081,0,0,202,1238,1440
1624580081,0,0,140,1300,1440
1624580081,17,36,154,1233,1440
1624580081,0,5,115,1320,1440
1624580081,0,0,150,1290,1440
1624580081,11,23,224,1182,1440
1624580081,186,63,171,1020,1440
1624580081,7,6,166,1261,1440
1624580081,0,0,96,1344,1440
1624580081,0,0,118,1322,1440
1624580081,0,0,117,1323,1440
1624580081,0,0,102,1338,1440
1624580081,0,0,182,1258,1440
1624580081,0,0,152,1288,1440
1624580081,0,0,91,1349,1440
1624580081,0,0,139,1301,1440
1624580081,0,0,112,1328,1440
1624580081,0,0,107,890,997
1644430081,2,51,256,1131,1440
1644430081,30,16,135,1259,1440
1644430081,5,58,252,1125,1440
1644430081,3,4,170,1263,1440
1644430081,51,42,212,1135,1440
1644430081,29,13,186,1212,1440
1644430081,15,33,121,1271,1440
1644430081,5,58,278,1099,1440
1644430081,0,0,125,1315,1440
1644430081,0,0,38,1402,1440
1644430081,0,0,86,1354,1440
1644430081,0,15,160,1265,1440
1644430081,0,0,89,1351,1440
1644430081,8,1,94,1337,1440
1644430081,11,41,223,1165,1440
1644430081,0,0,118,1322,1440
1644430081,3,53,227,1157,1440
1644430081,0,0,120,1193,1313
1644430081,9,71,402,816,1298
1644430081,3,24,146,908,1081
1644430081,1,7,148,682,838
1644430081,10,94,221,1115,1440
1644430081,0,0,52,1388,1440
1644430081,6,12,81,1341,1440
1644430081,11,6,369,1054,1440
1644430081,41,17,243,1139,1440
1644430081,0,0,295,991,1286
1644430081,32,6,303,1099,1440
1644430081,12,19,155,1254,1440
1644430081,0,0,49,713,762
1844505072,0,0,339,1101,1440
1844505072,0,0,248,1192,1440
1844505072,0,0,373,843,1216
1844505072,0,0,176,527,703
1844505072,0,0,147,1293,1440
1844505072,2,8,199,1231,1440
1844505072,0,12,217,1211,1440
1844505072,0,0,10,1430,1440
1844505072,0,0,1,1439,1440
1844505072,2,13,308,1117,1440
1844505072,0,0,220,1220,1440
1844505072,0,0,139,1301,1440
1844505072,0,0,0,1440,1440
1844505072,0,0,0,1440,1440
1844505072,0,0,0,1440,1440
1844505072,0,0,1,1439,1440
1844505072,0,0,302,1138,1440
1844505072,0,0,247,1082,1329
1844505072,0,0,184,218,402
1844505072,0,7,75,585,667
1844505072,0,0,0,1440,1440
1844505072,0,0,184,1256,1440
1844505072,0,0,87,1353,1440
1844505072,0,0,120,1320,1440
1844505072,0,0,2,1438,1440
1844505072,0,0,0,1440,1440
1844505072,0,0,0,1440,1440
1844505072,0,0,0,1440,1440
1844505072,0,0,0,1440,1440
1844505072,0,0,0,1440,1440
1844505072,0,0,0,711,711
1927972279,0,0,55,734,789
1927972279,0,0,32,986,1018
1927972279,0,9,88,1292,1389
1927972279,0,0,51,941,992
1927972279,0,0,0,1440,1440
1927972279,0,0,0,1440,1440
1927972279,0,0,17,1423,1440
1927972279,0,0,0,1440,1440
1927972279,0,0,0,1440,1440
1927972279,0,0,0,1440,1440
1927972279,0,0,10,1430,1440
1927972279,0,0,145,1295,1440
1927972279,1,6,75,1358,1440
1927972279,0,0,12,1303,1315
1927972279,0,0,192,1058,1250
1927972279,0,0,0,1440,1440
1927972279,0,0,95,1167,1262
1927972279,0,0,0,1440,1440
1927972279,0,0,0,1440,1440
1927972279,14,1,70,1355,1440
1927972279,16,8,94,1322,1440
1927972279,10,0,17,1413,1440
1927972279,0,0,87,1353,1440
1927972279,0,0,0,1440,1440
1927972279,0,0,108,1332,1440
1927972279,0,0,48,1392,1440
1927972279,0,0,0,1440,1440
1927972279,0,0,0,1440,1440
1927972279,0,0,0,1440,1440
1927972279,0,0,0,1440,1440
1927972279,0,0,0,966,966
2022484408,42,14,227,1157,1440
2022484408,43,5,292,1100,1440
2022484408,32,3,257,1148,1440
2022484408,27,9,282,1122,1440
2022484408,41,11,151,1237,1440
2022484408,28,29,331,1052,1440
2022484408,48,3,311,1078,1440
2022484408,31,7,250,1152,1440
2022484408,48,63,276,1053,1440
2022484408,104,53,255,1028,1440
2022484408,52,10,273,1105,1440
2022484408,0,0,249,1191,1440
2022484408,37,26,216,1161,1440
2022484408,44,8,217,1171,1440
2022484408,55,24,275,1086,1440
2022484408,19,20,282,1119,1440
2022484408,6,20,291,1123,1440
2022484408,21,40,281,1098,1440
2022484408,13,23,361,1043,1440
2022484408,25,28,245,1142,1440
2022484408,36,8,277,1119,1440
2022484408,72,14,250,1104,1440
2022484408,36,27,272,1105,1440
2022484408,55,20,253,1112,1440
2022484408,24,17,295,1104,1440
2022484408,20,2,149,1269,1440
2022484408,0,0,135,1305,1440
2022484408,35,47,297,1061,1440
2022484408,57,28,271,1084,1440
2022484408,58,25,224,1133,1440
2022484408,16,16,236,728,996
2026352035,3,8,181,706,898
2026352035,0,0,238,663,901
2026352035,0,0,197,653,850
2026352035,0,0,188,687,875
2026352035,0,0,150,728,878
2026352035,0,0,60,1053,1113
2026352035,0,0,182,1062,1244
2026352035,0,0,141,785,926
