"Id","min_date","max_date","Freq"
1503960366,2016-04-12,2016-05-12,31
1624580081,2016-04-12,2016-05-12,31
1644430081,2016-04-12,2016-05-11,30
1844505072,2016-04-12,2016-05-12,31
1927972279,2016-04-12,2016-05-12,31
2022484408,2016-04-12,2016-05-12,31
2026352035,2016-04-12,2016-05-12,31
2320127002,2016-04-12,2016-05-12,31
2347167796,2016-04-12,2016-04-29,18
2873212765,2016-04-12,2016-05-12,31
3372868164,2016-04-12,2016-05-01,20
3977333714,2016-04-12,2016-05-11,30
4020332650,2016-04-12,2016-05-12,31
4057192912,2016-04-12,2016-04-15,4
4319703577,2016-04-12,2016-05-12,31
4388161847,2016-04-12,2016-05-12,31
4445114986,2016-04-12,2016-05-12,31
4558609924,2016-04-12,2016-05-12,31
4702921684,2016-04-12,2016-05-12,31
5553957443,2016-04-12,2016-05-12,31
5577150313,2016-04-12,2016-05-11,30
6117666160,2016-04-12,2016-05-09,28
6290855005,2016-04-12,2016-05-10,29
6775888955,2016-04-12,2016-05-07,26
6962181067,2016-04-12,2016-05-12,31
7007744171,2016-04-12,2016-05-07,26
7086361926,2016-04-12,2016-05-12,31
8053475328,2016-04-12,2016-05-12,31
8253242879,2016-04-12,2016-04-30,19
8378563200,2016-04-12,2016-05-12,31
8583815059,2016-04-12,2016-05-12,31
8792009665,2016-04-12,2016-05-10,29
8877689391,2016-04-12,2016-05-12,31
